/,4863843,5533917,2463892,2290756,597292,1828495,8230778,3536895,2790509,3800863,1297075,0,1530035,1114940,1302331,744500,1669396,770610,180173,1953798,2984356,644053,375417,137915,3694430,79547,412075,229276,1630980,675931,477012,384621,84144,643638,826352,275526,80511,428454,615760,101206,25127,157470,328439,742559,1080406,54591,672522,47073,901165
770610,407037,1303018,1120021,419405,296823,415127,264574,944791,154076,133027,494299,0,381702,147085,547409,61561,174598,/,285664,655733,337563,61229,12718,128502,322015,0,65172,219469,307804,64390,122269,0,0,13009,127728,0,0,116839,0,0,95206,0,0,115003,95709,0,143311,0,0
180173,290308,988428,672347,483338,246946,0,1530120,1438450,991942,150629,464193,0,591531,102869,301365,220448,582410,285664,/,503317,909992,199774,26643,182013,824444,0,66913,187312,558554,268840,271128,207085,0,169514,411069,227139,600509,201517,263431,93741,65967,227654,0,207624,462161,496079,283353,127044,399543
1953798,2987299,2304200,1904652,1836685,647481,1315895,673255,1407028,709146,1943341,2172864,231062,756118,1494733,1536706,1114550,438303,655733,503317,/,600469,265174,974638,353680,813219,598294,244738,922567,1740362,354821,187270,517478,496114,661999,527208,0,0,520168,88197,134978,523362,114209,0,420324,144466,102036,1495463,33442,0
2984356,656586,1291243,1211520,925818,823573,1091206,1960351,1777754,1071265,646117,983063,0,776345,287909,590701,220213,818689,337563,909992,600469,/,696546,81166,181481,1080431,44285,321559,328241,547991,411477,363693,430284,0,161842,473988,423153,365024,166123,543205,319207,46148,294982,464238,472863,741769,493924,196683,266450,309743
644053,113170,945981,335881,350105,393579,278525,180557,821066,309365,75063,242015,0,200714,0,193040,0,198986,61229,199774,265174,696546,/,0,0,357674,0,60917,0,196748,0,0,0,0,0,65629,0,0,0,0,20781,0,0,0,0,69271,63368,0,0,0
375417,1193265,906200,532866,300874,54949,214681,0,499486,147483,1556390,892015,130086,98817,1061649,398045,511963,0,12718,26643,974638,81166,0,/,0,0,495263,0,83122,730358,0,0,0,542943,22142,0,0,0,0,0,0,0,0,0,0,0,0,585855,0,0
137915,277022,438244,1874747,862063,60831,111523,0,894194,0,91103,415412,0,126803,103128,126980,136162,71092,128502,182013,353680,181481,0,0,/,126458,0,0,0,310481,0,0,0,0,0,134727,0,0,0,0,0,0,0,0,20870,0,0,149270,0,0
3694430,671876,1783301,1257031,1174587,1289881,1185536,1182637,2493648,747312,287798,415052,0,999011,149716,750774,141683,0,322015,824444,813219,1080431,357674,0,126458,/,0,200658,224661,244283,253487,246436,288851,0,254637,314274,110740,535509,284628,0,160073,0,94085,146274,278348,303863,455819,255796,135600,387628
79547,1845664,289292,359411,246268,23107,95517,0,226799,0,110736,789316,442478,0,641918,177406,656813,0,0,0,598294,44285,0,495263,0,0,/,0,0,607580,0,0,0,0,14701,0,0,0,0,0,0,0,0,0,0,0,0,281855,0,0
412075,183498,517582,249491,147755,229086,248787,156671,585816,173932,71076,24517,0,179075,44510,206514,17279,105204,65172,66913,244738,321559,60917,0,0,200658,0,/,59413,75242,0,0,0,0,0,42528,0,0,62920,22415,40125,0,0,37610,25431,59858,60397,163825,0,0
229276,290626,1211473,1115166,384058,121111,270035,87616,955302,130926,199632,490082,0,260801,140524,453009,117343,114358,219469,187312,922567,328241,0,83122,0,224661,0,59413,/,363267,23432,0,117851,0,0,229256,0,0,124118,0,14168,0,0,0,79537,18372,0,143905,0,0
1630980,3469207,1843390,1552233,1309250,753066,314525,673320,1319557,223316,2557910,1322798,377462,953596,1294366,1008816,935138,176852,307804,558554,1740362,547991,196748,730358,310481,244283,607580,75242,363267,/,211537,193129,241523,647446,331191,251946,0,0,275226,32789,34792,161159,89842,0,175020,117510,63073,922303,86059,184017
