/,4173128,4610253,1957041,1873920,583013,1977706,7935738,3793540,2387467,2994058,1119409,0,1437935,1064482,1200552,775302,1474559,515583,447947,1410803,2386216,723794,358851,146507,3271509,74978,523030,361705,1751741,645959,520324,485481,89754,381387,352259,324504,132035,618868,451082,366737,28535,120855,444967,553641,1092584,85926,693651,46888,973315
4173128,/,3174433,3048846,1787387,676965,1501584,1235187,2227615,925363,5907765,2921171,0,746163,2311718,963623,777177,101296,371632,333189,2837858,429351,78808,994647,229387,497873,1539488,258952,226860,2990241,289098,46973,79217,1827508,369235,231444,0,0,245081,0,257597,61278,0,0,212145,37054,33224,1276378,12174,0
4610253,3174433,/,1919185,1514650,1753234,2497296,2140578,2191371,1899356,2300411,1748094,69996,1396635,1502455,2332073,1145564,868125,1442047,1063501,2390847,1062541,844214,688304,461180,1621100,313826,467555,1193684,1788730,1042363,955315,750802,300617,582270,793666,325270,371594,328014,235908,338135,290712,572984,334198,445519,748849,680632,633259,204143,734080
1957041,3048846,1919185,/,2270744,880246,1513022,1821402,2066742,777452,1061899,1307058,418882,638386,1019774,786099,886692,662854,1140915,614624,1611535,1026601,259726,439306,1823307,1116839,376153,262082,1006860,1332939,235577,301456,424351,512155,1704961,604700,183352,0,419692,323063,374469,757124,222570,226523,837101,423594,258878,616337,335196,0
1873920,1787387,1514650,2270744,/,702258,769942,1391804,1404129,470736,940693,1116838,294690,489046,778934,346380,783141,690861,411505,634470,1458155,769186,260869,397583,998222,989822,333676,174492,343876,1186143,534898,210419,221339,274537,978078,419637,67995,0,143873,240775,194633,485201,141017,81631,1415592,268154,0,383949,274417,0
583013,676965,1753234,880246,702258,/,399433,1499660,1539033,889923,612808,718781,0,650914,229231,548238,261778,683293,291187,254993,720835,785694,643987,49691,15562,1428358,48734,230005,116242,630332,285914,207739,229449,0,28993,263646,173233,497250,172563,269778,106049,0,72930,163811,134203,631284,280597,176069,25361,207923
1977706,1501584,2497296,1513022,769942,399433,/,1939030,2521478,1798200,1279841,372826,0,745764,510620,626722,359876,658634,352322,0,1407380,1002632,336197,112697,91237,1354652,90838,219324,303230,420675,218573,260892,338638,0,101936,226894,262613,302426,338302,338138,190622,36386,77030,112448,328111,499549,410293,201211,0,199221
7935738,1235187,2140578,1821402,1391804,1499660,1939030,/,4843019,1619416,614938,278971,0,1199583,107545,396640,0,1128884,299322,1067003,448264,1716627,189851,0,0,1288542,0,297198,75720,604927,224891,115107,105712,0,120574,267101,66474,153075,72081,347542,246609,0,30543,89343,342629,384187,262688,33254,46677,151696
3793540,2227615,2191371,2066742,1404129,1539033,2521478,4843019,/,1464712,1122473,1124763,156303,1296838,962284,1398269,710257,1852041,833572,1339531,1480033,1487934,869591,337461,916131,2606062,203341,487364,807647,1453131,353665,694906,824562,93434,441666,553613,522546,203472,773834,1376658,873265,225089,393705,830311,1089184,1195225,478496,1019243,506473,633676
2387467,925363,1899356,777452,470736,889923,1798200,1619416,1464712,/,1055342,311401,0,486070,273158,459471,144125,290350,148900,1178783,733554,961212,291545,97955,0,765818,0,198089,41507,198147,153893,71271,90761,52957,58980,27860,0,0,338200,64005,143957,0,0,153942,56712,328043,0,198119,0,235195
